ScientificName,genus,specificEpithet,infraspecificEpithet,family,scientificNameAuthorship,Kingdom,BasisOfRecord,preparations,InstitutionCode,CollectionCode,CatalogNumber,occurrenceID,recordedBy,recordNumber,year,month,day,eventDate,modified,DLM,TypeStatus,occurrenceRemarks,informationWithheld,Country,StateProvince,Locality,habitat,verbatimElevation,decimalLongitude,decimalLatitude,CoordinatePrecision,VerbatimCoordinates,ImageURL,minimumElevationInMeters,maximumElevationInMeters,type
Eryngium viviparum J.Gay subsp. bariegoi M. I. Romero Buján & C. Real Rodríguez,Eryngium,viviparum,bariegoi,Umbelliferae,M. I. Romero Buján & C. Real Rodríguez,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,50009,SANT:SANT:50009-A,M.I.Romero; P.Ramil; P.Bariego,,2003.0,11.0,1.0,2003-11-01,2022-11-27T13:40:27Z,2022-11-27 13:40:27,holotype,Threatened taxon in Spain,location information may be obfuscated for endangered species,ES,Za,"Zamora, Otero de Bodas",,,,,,,http://www.usc.es/herbario?SANT_50009,,,Physical Object
Eryngium viviparum J.Gay subsp. bariegoi M. I. Romero Buján & C. Real Rodríguez,Eryngium,viviparum,bariegoi,Umbelliferae,M. I. Romero Buján & C. Real Rodríguez,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,50009,SANT:SANT:50009-B,,,2003.0,11.0,1.0,2003-11-01,2022-11-27T13:40:27Z,2022-11-27 13:40:27,isotype,Threatened taxon in Spain,location information may be obfuscated for endangered species,ES,Za,"Zamora, Otero de Bodas",,,,,,,http://www.usc.es/herbario?SANT_50009,,,Physical Object
Thymus erianthus (Boiss.) Pau ex Ceballos & Vicioso,Thymus,erianthus,,Labiatae,(Boiss.) Pau ex Ceballos & Vicioso,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,2813,SANT:SANT:2813-A,Cuatrecasas,,1934.0,6.0,8.0,1934-06-08,2022-11-22T13:05:14Z,2022-11-22 13:05:14,,,,ES,Ma,Canillas de Albaida,,,,,,,,,,Physical Object
Convolvulus soldanella L.,Convolvulus,soldanella,,Convolvulaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,6437,SANT:SANT:6437-A,R.Alvarez,,1951.0,7.0,1.0,1951-07-01,2022-11-22T13:03:10Z,2022-11-22 13:03:10,,,,ES,C,"Playa de la Magdalena, Puentedeume (La Coruña)",,,,,,,,,,Physical Object
Sedum acre L.,Sedum,acre,,Crassulaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,6436,SANT:SANT:6436-A,R.Álvarez,,1951.0,7.0,1.0,1951-07-01,2022-11-22T13:02:30Z,2022-11-22 13:02:30,,,,ES,C,Playa de la Magdalena,,,,,,,,,,Physical Object
Sedum album L.,Sedum,album,,Crassulaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,7381,SANT:SANT:7381-A,R.Álvarez,,1951.0,7.0,1.0,1951-07-01,2022-11-22T13:02:20Z,2022-11-22 13:02:20,,,,ES,C,Playa de la Magdalena - Puentedeume,,,,,,,,,,Physical Object
Genista hystrix Lange,Genista,hystrix,,Leguminosae,Lange,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,28770,SANT:SANT:28770-A,"A.Penas, M.E.García, G.González Sierra",,1991.0,6.0,14.0,1991-06-14,2022-11-22T11:43:27Z,2022-11-22 11:43:27,,,,ES,Le,León: Emb. Peñarrubia,aulagar,,-6.81748576651,42.444300511,707.0,29TPH7901,,,,Physical Object
Santolina villosa Mill.,Santolina,villosa,,Compositae,Mill.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81893,SANT:SANT:81893-A,Carlos Jiménez,CJB-413,2022.0,6.0,12.0,2022-06-12,2022-11-22T10:36:13Z,2022-11-22 10:36:13,,,,ES,V,"Alto del Pelegrí, Ayora (V). Inicio del parque eólico",,,,,,"30SXJ7817 
X:678.680,68 
Y:4.317.653,21",,,,Physical Object
Santolina villosa Mill.,Santolina,villosa,,Compositae,Mill.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81894,SANT:SANT:81894-A,Carlos Jiménez,CJB-412,2022.0,6.0,12.0,2022-06-12,2022-11-22T10:30:07Z,2022-11-22 10:30:07,,,,ES,V,"Cueva Horadada, Ayora (V). Final de la pista",,,,,,"30SXJ8120 
X:681.838,75 
Y:4.320.841,78",,,,Physical Object
Erigeron floribundus (Kunth) Sch.Bip.,Erigeron,floribundus,,Compositae,(Kunth) Sch.Bip.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81892,SANT:SANT:81892-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-10-30/01,2022.0,10.0,30.0,2022-10-30,2022-11-15T11:44:02Z,2022-11-15 11:44:02,,,,ES,C,"Punta Nariga, Concello de Malpica de Bergantiños",Cuneta de estrada. Substrato: Granito alcalino de duas micas,,,,,"43.314162,-8.898607",,,,Physical Object
Spergularia melanocaulos Merino,Spergularia,melanocaulos,,Caryophyllaceae,Merino,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81891,SANT:SANT:81891-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-10-30/02,2022.0,10.0,30.0,2022-10-30,2022-11-15T11:34:07Z,2022-11-15 11:34:07,,,,ES,C,"Punta Nariga, Concello de Malpica de Bergantiños",Cantil mariño. Substrato: Granito alcalino de duas micas,,,,,"43.318254,-8.912500",,,,Physical Object
Ulmus glabra Huds.,Ulmus,glabra,,Ulmaceae,Huds.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81890,SANT:SANT:81890-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-11-01/01,2022.0,11.0,1.0,2022-11-01,2022-11-15T11:32:56Z,2022-11-15 11:32:56,,,,ES,Po,"Rio Verdugo, Comboa, Concello de Soutomaior",Bosque de ribeira. Substrato: Granito alcalino de duas micas,,,,,"42.343925,-8.565574",,,,Physical Object
Dryopteris carthusiana (Vill.) H.P.Fuchs,Dryopteris,carthusiana,,Aspidiaceae,(Vill.) H.P.Fuchs,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81888,SANT:SANT:81888-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-11-05/02,2022.0,11.0,5.0,2022-11-05,2022-11-15T11:31:38Z,2022-11-15 11:31:38,,,,ES,C,"Rio Mendo, Merille, Concello de Coirós",Carballeira e bosque de ribeira. Substrato: Xisto,,,,,"43.237890,-8.176754",,,,Physical Object
Selinum broteri Hoffmanns. & Link,Selinum,broteri,,Umbelliferae,Hoffmanns. & Link,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81887,SANT:SANT:81887-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-11-05/03,2022.0,11.0,5.0,2022-11-05,2022-11-15T11:30:37Z,2022-11-15 11:30:37,,Threatened taxon in Galicia,location information may be obfuscated for endangered species,ES,C,"Rio Mendo, Oza dos Rios, Concello de Oza-Cesuras",Herbeira en bosque de ribeira. Substrato: Xisto,,,,,"43.240877,-8.180465",,,,Physical Object
Ulmus minor Mill.,Ulmus,minor,,Ulmaceae,Mill.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81886,SANT:SANT:81886-A,"Martiño-Fiz López Lindoso, Fins Eirexas Santamaria",2022-11-05/04,2022.0,11.0,5.0,2022-11-05,2022-11-15T11:28:09Z,2022-11-15 11:28:09,,,,ES,C,"Rio Mendo, Merille, Concello de Coirós",Bosque de ribeira. Substrato: Xisto,,,,,"43.242793,-8.181215",,,,Physical Object
Salix fragilis L.,Salix,fragilis,,Salicaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81885,SANT:SANT:81885-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/01,2022.0,11.0,6.0,2022-11-06,2022-11-15T11:27:35Z,2022-11-15 11:27:35,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Bosque de ribeira. Substrato: Sedimentario,,,,,"42.159881,-8.122694",,,,Physical Object
Ulmus glabra Huds.,Ulmus,glabra,,Ulmaceae,Huds.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81884,SANT:SANT:81884-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/02,2022.0,11.0,6.0,2022-11-06,2022-11-15T11:27:08Z,2022-11-15 11:27:08,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Bosque de ribeira. Substrato: Sedimentario,,,,,"42.173363,-8.134609",,,,Physical Object
"Vitis x ruggeri Ardenghi, Galasso, Banfi & Lastrucci",,ruggeri,,Vitaceae,"Ardenghi, Galasso, Banfi & Lastrucci",Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81883,SANT:SANT:81883-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/03,2022.0,11.0,6.0,2022-11-06,2022-11-15T10:20:28Z,2022-11-15 10:20:28,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Cultivo abandoado. Substrato: Sedimentario,,,,,"42.166469,-8.133469",,,,Physical Object
Erigeron floribundus (Kunth) Sch.Bip.,Erigeron,floribundus,,Compositae,(Kunth) Sch.Bip.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81882,SANT:SANT:81882-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/04,2022.0,11.0,6.0,2022-11-06,2022-11-15T10:19:38Z,2022-11-15 10:19:38,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Ruderal en cultivo. Substrato: Sedimentario,,,,,"42.168030,-8.134857",,,,Physical Object
Oxalis corniculata L.,Oxalis,corniculata,,Oxalidaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81881,SANT:SANT:81881-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/05,2022.0,11.0,6.0,2022-11-06,2022-11-15T10:19:05Z,2022-11-15 10:19:05,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Ruderal en cultivo. Substrato: Sedimentario,,,,,"42.160776,-8.122561",,,,Physical Object
Arctium minus (Hill) Bernh.,Arctium,minus,,Compositae,(Hill) Bernh.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81880,SANT:SANT:81880-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-11-06/06,2022.0,11.0,6.0,2022-11-06,2022-11-15T10:17:43Z,2022-11-15 10:17:43,,,,ES,Or,"Rio Deva, Aldea de Deva, Concello de Pontedeva",Ruderal en camiño. Substrato: Sedimentario,,,,,"42.162068,-8.121820",,,,Physical Object
Hakea sericea Schrad.,Hakea,sericea,,Proteaceae,Schrad.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81879,SANT:SANT:81879-A,I. Bárbara,,1998.0,2.0,18.0,1998-02-18,2022-11-08T13:47:48Z,2022-11-08 13:47:48,,,,PT,,Serra do Xeres,formando grandes extensiones,,,,,,,,,Physical Object
Salicornia ramosissima J.Woods,Salicornia,ramosissima,,Chenopodiaceae,J.Woods,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81878,SANT:SANT:81878-A,I. Bárbara,,1999.0,7.0,19.0,1999-07-19,2022-11-08T13:46:56Z,2022-11-08 13:46:56,,,,ES,C,A Coruña: Marisma de Ortigueira,sobre el fango,,,,,,,,,Physical Object
Parnassia palustris L.,Parnassia,palustris,,Saxifragaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81877,SANT:SANT:81877-A,I. Bárbara,,1996.0,9.0,15.0,1996-09-15,2022-11-08T13:46:11Z,2022-11-08 13:46:11,,,,ES,Lu,"Lugo, Ancares, prados bajo el Mustallar",prados y turberas en ladera inclinada,,,,,,,,,Physical Object
Erica ciliaris L.,Erica,ciliaris,,Ericaceae,L.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81876,SANT:SANT:81876-A,I. Bárbara,,1996.0,9.0,15.0,1996-09-15,2022-11-08T13:43:31Z,2022-11-08 13:43:31,,,,ES,Lu,"Lugo, Ancares, prados bajo el Mustallar",prados y turberas en ladera inclinada,,,,,,,,,Physical Object
Juncus maritimus Lam.,Juncus,maritimus,,Juncaceae,Lam.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81875,SANT:SANT:81875-A,I. Bárbara,,1999.0,7.0,19.0,1999-07-19,2022-11-08T13:42:25Z,2022-11-08 13:42:25,,,,ES,C,A Coruña: Marisma de Ortigueira,sobre el fango,,,,,,,,,Physical Object
Myriophyllum brasiliense Cambess.,Myriophyllum,brasiliense,,Haloragaceae,Cambess.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81874,SANT:SANT:81874-A,I. Bárbara,,1996.0,10.0,29.0,1996-10-29,2022-11-08T12:46:29Z,2022-11-08 12:46:29,,,,ES,C,"Corrubedo, parte trasera de la duna","laguna de agua dulce, junto con Potamogetum",,,,,,,,,Physical Object
Ulmus glabra Huds.,Ulmus,glabra,,Ulmaceae,Huds.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81873,SANT:SANT:81873-A,"Martiño-Fiz López Lindoso, Teresa Lindoso López",2022-10-16/03,2022.0,10.0,16.0,2022-10-16,2022-11-08T11:36:38Z,2022-11-08 11:36:38,,,,ES,Or,"Rio Miño, Laias, Concello de Cenlle",Bosque de ribeira. Substrato: Granito alcalino de duas micas,,,,,"42.327339,-8.034533",,,,Physical Object
Setaria pumila (Poir.) Roem. & Schult.,Setaria,pumila,,Gramineae,(Poir.) Roem. & Schult.,Plantae,PreservedSpecimen,herbarium specimen,SANT,SANT,81872,SANT:SANT:81872-A,Martiño-Fiz López Lindoso,2022-10-13/04,2022.0,10.0,13.0,2022-10-13,2022-11-08T11:36:12Z,2022-11-08 11:36:12,,,,ES,Po,"Lagoas de Rouxique, Concello de Meaño",Ruderal en campo de millo. Substrato: Sedimentario,,,,,"42.454420,-8.848461",,,,Physical Object
