,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
582,Erica ciliaris L.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26025
583,Erica vagans L.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26026
584,Potentilla montana Brot.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26027
585,Lithodora prostrata (Loisel.) Griseb.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26028
586,Samolus valerandi L.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26029
587,Anagallis tenella (L.) L.,C,Cedeira,Punta Candieira,29TNJ7640,30.0,28-VI-2003,En acantilados de brezal-tojal. Transecto de 50 m.,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26030
588,Aquilegia vulgaris subsp. dichroa (Freyn) T.E. Díaz,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26031
589,Briza media L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26032
590,Polygala vulgaris L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26033
591,Gladiolus illyricus Koch,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26034
592,Anagallis tenella (L.) L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26035
593,Prunella hastifolia Brot.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26036
594,Jasione montana L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26037
595,Arctium minus Bernh.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26038
596,Centaurium scilloides (L. fil.) Samp.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26039
597,Thymus longicaulis C. Presl,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26040
598,Linum catharticum L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26042
599,Lithodora prostrata (Loisel.) Griseb.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26043
600,Centaurea nigra L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26044
601,Veronica officinalis L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26045
602,Prunella vulgaris L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26046
603,Bellis perennis L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26047
604,Potentilla montana Brot.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26048
605,Centaurium scilloides (L. fil.) Samp.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26049
606,Trifolium pratense L.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26050
607,Sagina merinoi Merino,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26051
608,Gymnadenia conopsea (L.) R. Br.,C,Cedeira,Rabadán carretera entre Cedeira y San Andrés de Teixido,29TNJ8139,357.0,28-VI-2003,Zonas serpentínicas de los acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26052
609,Foeniculum vulgare Mill.,C,Cedeira,Pueblo de San Andrés de Teixido,29TNJ8240,160.0,28-VI-2003,Márgenes de la carretera de acceso al pueblo,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26053
610,Verbena officinalis L.,C,Cedeira,Pueblo de San Andrés de Teixido,29TNJ8240,160.0,28-VI-2003,Márgenes de la carretera de acceso al pueblo,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26054
611,Pteridium aquilinum (L.) Kuhn,C,Cedeira,Pueblo de San Andrés de Teixido,29TNJ8240,160.0,28-VI-2003,Márgenes de la carretera de acceso al pueblo,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26055
612,Myoporum laetum G. Forst.,C,Cedeira,Pueblo de San Andrés de Teixido,29TNJ8240,160.0,28-VI-2003,Márgenes de la carretera de acceso al pueblo,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26056
613,Malva sylvestris L.,C,Cedeira,Pueblo de San Andrés de Teixido,29TNJ8240,160.0,28-VI-2003,Márgenes de la carretera de acceso al pueblo,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26057
614,Primula veris L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26058
615,Narthecium ossifragum (L.) Huds.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26059
616,Lithodora prostrata (Loisel.) Griseb.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26060
617,Hypericum pulchrum L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26061
618,Gymnadenia conopsea (L.) R. Br.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26062
619,Bellis perennis L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26063
620,Erinus alpinus L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada. En zonas rocosas de orientación norte,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26064
621,Salix atrocinerea Brot.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,"Acantilados de A Serra da Capelada, sobre rocas de difícil acceso",,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26065
622,Aquilegia vulgaris subsp. dichroa (Freyn) T.E. Díaz,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,"Acantilados de A Serra da Capelada, sobre rocas de difícil acceso",,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26066
623,Pinguicula lusitanica L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,"Acantilados de A Serra da Capelada, en zonas húmedas y sombrías, de orientación N",,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26067
624,Huperzia selago (L.) Schrank & Mart.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,"Acantilados de A Serra da Capelada, en rocas de orientación N",,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26068
625,Iris latifolia (Mill.) Voss,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26069
626,Calluna vulgaris (L.) Hull,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26070
627,Anthyllis vulneraria L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26071
628,Centaurea nigra L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26072
629,Centaurea borjae Valdés Berm. & Rivas Goday,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26073
630,Prunella hastifolia Brot.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26074
631,Sanguisorba minor Scop.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26075
632,Polygala vulgaris L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26076
633,Potentilla montana Brot.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26077
634,Prunella vulgaris L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26078
635,Hypericum sp.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26079
636,Leucanthemum pluriflorum Pau,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26081
637,Centaurium scilloides (L. fil.) Samp.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26082
638,Mentha sp.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,"En lugares inundados, en la parte superior del acantilado",,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26083
639,Sedum sp.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26084
640,Thymus froelichianus Opiz,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26085
641,Bellis perennis L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,En los prados superiores de la Sierra,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26086
642,Scorzonera humilis L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26087
643,Potentilla erecta (L.) Raeusch.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26088
644,Erica mackaiana Bab.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26089
645,Polygala vulgaris L.,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"R. Pino, J.J. Pino, J.L. Camaño, X.R. García & J. González",LOU 26090
646,Sagina merinoi Merino,C,Cedeira,Garita de Herbeira en el límite con el municipio de Cariño,29TNJ8541,603.0,28-VI-2003,Acantilados de A Serra da Capelada,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26091
647,Juncus acutiflorus Hoffm.,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26092
648,Gladiolus illyricus Koch,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26093
649,Silene vulgaris (Moench) Garcke subsp. vulgaris,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26094
650,Trifolium sp.,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26095
651,Carex laevigata Sm.,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26096
652,Danthonia decumbens (L.) DC.,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26097
653,Dianthus hyssopifolius L.,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26098
654,Blechnum spicant (L.) Roth,C,Cariño,Cabo Ortegal,29TNJ9147,56.0,28-VI-2003,En bosque de Pinus radiata,,,"J.J. Pino, J.L. Camaño, R. Pino, X.R. García & J. González",LOU 26099
655,Thapsia villosa L.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26100
656,Campanula rapunculus L.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26101
657,Echium lusitanicum L.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26102
658,Achillea millefolium L.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26103
659,Sedum forsterianum Sm.,Or,Quintela de Leirado,Mociños,29TNG7464,550.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26104
660,Anarrhinum bellidifolium (L.) Willd.,Or,Quintela de Leirado,Mociños,29TNG7464,550.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26105
661,Aquilegia vulgaris subsp. dichroa (Freyn) T.E. Díaz,Or,Verea,Bangueses,29TNG7662,650.0,25-V-2003,"Márgenes de carretera, en zonas húmedas y sombrías",,,"R. Pino, A. Pino",LOU 26106
662,Euphorbia lathyris L.,Or,Verea,Bangueses,29TNG7662,650.0,25-V-2003,En tierras removidas,,,"R. Pino, A. Pino",LOU 26107
663,Tuberaria globulariifolia (Lam.) Willk.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26108
664,Galium sp.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26109
665,Stachys arvensis (L.) L.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26110
666,Dactylorhiza maculata (L.) Soó,Or,Verea,Bangueses,29TNG7662,650.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26111
667,Paradisea lusitanica (Cout.) Samp.,Or,Padrenda,"Gorgua, Corga da Veiga",29TNG7162,590.0,25-V-2003,"Márgenes de carretera, en lugares húmedos y sombríos",,,"R. Pino, A. Pino",LOU 26112
668,Oenothera sp.,Or,Verea,Bangueses,29TNG7662,650.0,25-V-2003,En tierras removidas,,,"R. Pino, A. Pino",LOU 26113
669,Tuberaria globulariifolia (Lam.) Willk.,Or,Padrenda,"Carretera a Gorgua, San Pedro da Torre",29TNG7062,500.0,25-V-2003,Márgenes de carretera,,,"R. Pino, A. Pino",LOU 26114
670,Calystegia sepium (L.) R. Br.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,En muros y taludes,,,"R. Pino, A. Pino",LOU 26115
671,Hypericum perforatum L.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,Márgenes de caminos,,,"R. Pino, A. Pino",LOU 26116
672,Helianthemum sp.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,Taludes de tierra,,,"R. Pino, A. Pino",LOU 26117
673,Lithodora prostrata (Loisel.) Griseb.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,Taludes de tierra,,,"R. Pino, A. Pino",LOU 26118
674,Melilotus indicus (L.) All.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,En bordes de prados,,,"R. Pino, A. Pino",LOU 26119
675,Crepis sp.,Po,Cangas,"Darbo, Sierra Poniente",29TNG1779,90.0,24-V-2003,Márgenes de caminos,,,R. Pino & A. Pino,LOU 26120
676,Antirrhinum meonanthum Hoffmanns. & Link,Po,Caldas de Reis,,29TNH2923,,15-VI-2003,"En zona sombría, bajo un puente",,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26121
677,Antirrhinum meonanthum Hoffmanns. & Link,C,Santiago,,29TNH35,,15-VI-2003,,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26122
678,Asplenium billotii F.W. Schultz,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26123
679,Asplenium trichomanes L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26124/1
680,Asplenium trichomanes L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26124/2
681,Asplenium trichomanes L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26124/3
682,Athyrium filix-femina (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26125/1
683,Athyrium filix-femina (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26125/2
684,Athyrium filix-femina (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26125/3
685,Athyrium filix-femina (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26125/4
686,Blechnum spicant (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26126/1
687,Blechnum spicant (L.) Roth,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26126/2
688,Dryopteris affinis (Lowe) Fraser-Jenk.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26127/1
689,Dryopteris affinis (Lowe) Fraser-Jenk.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26127/2
690,Dryopteris affinis (Lowe) Fraser-Jenk.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26127/3
691,Dryopteris affinis (Lowe) Fraser-Jenk.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26127/4
692,Geranium robertianum L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26128
693,Tritonia x crocosmiflora (Lemoine) G. Nicholson,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26129
694,Melittis melissophyllum L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26131
695,Melica uniflora Retz.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,"Ripisilva del río Gorgua, bajo un puente",,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26132/1
696,Melica uniflora Retz.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26132/2
697,Osmunda regalis L.,Or,Padrenda,"Freas, río Gorgua",29TNG7063,310.0,11-VII-2003,Ripisilva del río Gorgua,,,"R. Pino Pérez, J.J. Pino Pérez & A. Pino",LOU 26133
