,scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,Legatarios,Número de pliego
29,Illecebrum verticillatum L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25406
30,Prunella vulgaris L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25407
31,Daboecia cantabrica (Huds.) K. Koch,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25408
32,Senecio jacobaea L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25409
33,Blechnum spicant (L.) Roth,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160.0,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25410
34,Ilex aquifolium L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,bosque de Quercus robur cercano al pueblo,,,J.L. Camaño & I. Gómez,LOU 25411
35,Osmunda regalis L.,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,bosque de Quercus robur sobre riachuelo,,,J.L. Camaño & I. Gómez,LOU 25412
36,Parentucellia viscosa (L.) Caruel,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25413
37,Senecio jacobaea L.,C,Sobrado,Montes do Corno do Boi,29TNH8059,,22-VI-2003,monte bajo,,,J.L. Camaño & I. Gómez,LOU 25414
38,Dactylorhiza maculata (L.) Soó,C,Sobrado,Montes do Corno do Boi,29TNH8059,,22-VI-2003,turbera,,,J.L. Camaño & I. Gómez,LOU 25415
39,Carum verticillatum (L.) W.D.J. Koch,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25416
40,Pteridium aquilinum (L.) Kuhn,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,"Bosque de Quercus robur, cercano a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25417
41,Prunella vulgaris L.,Po,Arbo,playa fluvial a orillas del Río Deva,29TNG5863,,13-VII-2003,"bosque de ribera, cerca de la orilla del río",,,J.L. Camaño & I. Gómez,LOU 25418
42,Euphorbia dulcis L.,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,"Bosque de Quercus robur, cercano a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25419
43,Achillea millefolium L.,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,"cuneta de carretera, junto a brezal",,,J.L. Camaño & I. Gómez,LOU 25420
44,Fragaria vesca L.,Lu,Samos,Santalla,29TPH4120,,17-V-2003,próximo a riachuelo en monte bajo,,,J.L. Camaño & I. Gómez,LOU 25421
45,Linaria triornithophora (L.) Willd.,Lu,Samos,Santalla,29TPH4120,,7-VI-2003,"cuneta de carretera, en monte bajo",,,J.L. Camaño & I. Gómez,LOU 25422
46,Hypericum humifusum L.,Lu,Samos,Santalla,29TPH4120,,7-VI-2003,"cuneta de carretera, en monte bajo, próximo a riachuelo",,,J.L. Camaño & I. Gómez,LOU 25423
47,Lavandula stoechas L.,Lu,Pobra de Broullón,,29TPH31,,8-VI-2003,"lindes de fincas, bajo Quercus petraea",,,J.L. Camaño & I. Gómez,LOU 25424
48,Cruciata laevipes Opiz,Lu,Folgoso do Courel,Moreda,29TPH5421,,8-VI-2003,"ambiente ruderalizado, sobre sustrato calizo",,,J.L. Camaño & I. Gómez,LOU 25425
49,Orobanche foetida Poir.,Or,Monforte de Lemos,carretera Monforte - Castro Caldelas,29TPH2500,,8-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25426
