scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,recordedBy,occurrenceID,basisOfRecord
Hypericum pulchrum L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25404,PreservedSpecimen
Misopates orontium (L.) Raf.,Po,Moaña,"Meira, Isamil",29TNG2480,60,6-VII-2003,ambiente ruderal,,,J.L. Camaño & I. Gómez,LOU 25405,PreservedSpecimen
Illecebrum verticillatum L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25406,PreservedSpecimen
Prunella vulgaris L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25407,PreservedSpecimen
Daboecia cantabrica (Huds.) K. Koch,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25408,PreservedSpecimen
Senecio jacobaea L.,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25409,PreservedSpecimen
Blechnum spicant (L.) Roth,Po,Moaña,"Monte Jaján, cerca de la Poza da Moura, bajo el campo de golf",29TNG2683,160,6-VII-2003,"eucaliptal, con restos de vegetación autóctona en cercanías de riachuelo",,,J.L. Camaño & I. Gómez,LOU 25410,PreservedSpecimen
Ilex aquifolium L.,Po,Forcarei,"Montes do Testeiro, Graña",29TNH6009,,4-VII-2003,bosque de Quercus robur cercano al pueblo,,,J.L. Camaño & I. Gómez,LOU 25411,PreservedSpecimen
Osmunda regalis L.,Po,Moaña,"Meira, A Fraga",29TNG28,,19-VI-2003,bosque de Quercus robur sobre riachuelo,,,J.L. Camaño & I. Gómez,LOU 25412,PreservedSpecimen
Parentucellia viscosa (L.) Caruel,Lu,Friol,Carrelos,29TNH9065,,22-VI-2003,cuneta de carretera,,,J.L. Camaño & I. Gómez,LOU 25413,PreservedSpecimen
