scientificName,stateProvince,municipality,verbatimLocality,verbatimCoordinates,verbatimElevation,eventDate,habitat,observaciones,Abundancia,recordedBy,occurrenceID,basisOfRecord
Polypodium cambricum L.,Or,Verea,Alto de Froufe,29TNG7558,1244,17-I-2004,En una grieta semiprotegida,,Escaso,"R. Pino, J.J. Pino & A. Pino",LOU 26837,PreservedSpecimen
Vaccinium myrtillus L.,Or,Verea,Corga de Abelenda,29TNG7559,1180,17-I-2004,"Sobre los taludes sombríos del río de Abelenda, bajo Erica arborea",,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26838,PreservedSpecimen
Blechnum spicant (L.) Roth,Or,Verea,Corga de Abelenda,29TNG7559,1180,17-I-2004,"Sobre los taludes sombríos del río de Abelenda, bajo Erica arborea",,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26839,PreservedSpecimen
Paraserianthes lophantha (Willd.) I.C. Nielsen,Po,Cangas,Liméns,29TNG1679,70,04-I-2004,En laderas de orientación SO,,Localmente abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26840,PreservedSpecimen
Paraserianthes lophantha (Willd.) I.C. Nielsen,Po,Moaña,"Meira, Isamil",29TNG2381,30,04-I-2004,"En talud sobre el mar, de orientación O",,Escaso,"R. Pino, J.J. Pino & A. Pino",LOU 26841,PreservedSpecimen
Polygonum capitatum D. Don,Po,Bueu,Bouzón,29TNG1987,30,15-I-2004,"En la cuneta de la carretera, orientación SE","Naturalizada en numerosos puntos, escapada de cultivo",Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26842,PreservedSpecimen
Oxalis pes-caprae L.,Po,Cangas,Playa de Areamilla,29TNG1777,5,18-I-2004,En las rocas del litoral en medio de Rubus ulmifolius,,Abundante,"R. Pino, J.J. Pino, A. Pino A. & A. Pino Cancelas",LOU 26845,PreservedSpecimen
Acacia mearnsii De Wild.,Po,Cangas,"Darbo, Alto da Portela",29TNG1782,120,23-V-2003,En ladera de orientación E con Acacia dealbata,"En flor, de color amarillo pálido. No muchos ejemplares (<100)",Localmente abundante,J.J. Pino & R. Pino,LOU 26846,PreservedSpecimen
Cladium mariscus (L.) Pohl,Po,Cangas,Liméns,29TNG1578,5,20-I-2004,"En zona semiturbosa, encharcada y arenosa",,Localmente abundante,,LOU 26847,PreservedSpecimen
Iberis procumbens Lange,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,"En duna primaria, orientación O en medio de Ammophilum",En flor,Frecuente,R. Pino & J.J. Pino,LOU 26848,PreservedSpecimen
Carpobrotus acinaciformis (L.) L. Bolus,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En primera línea de playa junto con Elytirgia juncea,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26849,PreservedSpecimen
Leontodon taraxacoides (Vill.) Mérat,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,En la postduna,En flor,Abundante,R. Pino & J.J. Pino,LOU 26850,PreservedSpecimen
Urtica dioica L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En zonas húmedas y sombrías de los taludes arenosos,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26851,PreservedSpecimen
Ophioglossum lusitanicum L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,10,28-I-2004,"En pequeños claros que conforman prados (2 ó 3 m2) aclarados, húmedos",,Localmente abundante,R. Pino & J.J. Pino,LOU 26852,PreservedSpecimen
Romulea ramiflora Ten.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,10,28-I-2004,"En pequeños claros que conforman prados (2 ó 3 m2) aclarados, húmedos pero también en medio de la vegetación.",En flor,Abundante,R. Pino & J.J. Pino,LOU 26853,PreservedSpecimen
Stachys arvensis (L.) L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,10,28-I-2004,"En pequeños claros que conforman prados (2 ó 3 m2) aclarados, húmedos",En flor,Escaso,R. Pino & J.J. Pino,LOU 26854,PreservedSpecimen
Isoetes histrix Bory,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,10,28-I-2004,"En pequeños claros que conforman prados (2 ó 3 m2) aclarados, húmedos. También aparecen en zonas con más cobertura",,Localmente abundante,R. Pino & J.J. Pino,LOU 26855,PreservedSpecimen
Cerastium diffusum Pers. subsp. diffusum,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,En dunas secundarias,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26856,PreservedSpecimen
Mercurialis annua L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,En taludes húmedos de orientación N,En flor,Escaso,R. Pino & J.J. Pino,LOU 26857,PreservedSpecimen
Festuca juncifolia St.-Amans,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,Por toda las dunas secundarias,,Muy abundante,R. Pino & J.J. Pino,LOU 26858,PreservedSpecimen
Linaria polygalifolia Hoffmanns. & Link,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,En dunas primarias y secundarias,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26859,PreservedSpecimen
Elymus farctus (Viv.) Melderis,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,1,28-I-2004,En primera línea de playa,,Abundante,R. Pino & J.J. Pino,LOU 26860,PreservedSpecimen
Rubus ulmifolius Schott,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,7,28-I-2004,En zona rocosa resguardada de orientación O,,Escaso,R. Pino & J.J. Pino,LOU 26861,PreservedSpecimen
Sonchus oleraceus L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,2,28-I-2004,En la duna secundaria,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26862,PreservedSpecimen
Zostera marina L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,0,28-I-2004,Varada sobre la arena,Aún verde,Frecuente,R. Pino & J.J. Pino,LOU 26863,PreservedSpecimen
Medicago italica (Mill.) Fiori,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En zonas de dunas secundarias con cobertura,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26864,PreservedSpecimen
Medicago marina L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En las dunas secundarias,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26865,PreservedSpecimen
Pancratium maritimum L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,6,28-I-2004,En las dunas secundarias,,Abundante,R. Pino & J.J. Pino,LOU 26866,PreservedSpecimen
Carpobrotus acinaciformis (L.) L. Bolus,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,2,28-I-2004,En primera línea de playa junto con Elytirgia juncea,En flor,Frecuente,R. Pino & J.J. Pino,LOU 26867,PreservedSpecimen
Armeria pubigera (Desf.) Boiss.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,5,28-I-2004,En zonas rocosas y expuestas,En flor,Abundante,R. Pino & J.J. Pino,LOU 26868,PreservedSpecimen
Calendula suffruticosa subsp. algarbiensis (Boiss.) Nyman,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En taludes de orientación N con gran cobertura herbácea,En flor,Abundante,R. Pino & J.J. Pino,LOU 26869,PreservedSpecimen
Geranium molle L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,3,28-I-2004,En taludes de orientación N con gran cobertura herbácea,,Escaso,R. Pino & J.J. Pino,LOU 26870,PreservedSpecimen
Cochlearia danica L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,10,28-I-2004,En prados húmedos y soleados de las partes más altas de la isla,En flor,Localmente abundante,R. Pino & J.J. Pino,LOU 26871,PreservedSpecimen
Oxalis pes-caprae L.,Po,Illa de Arousa,Xidoiro Areoso,29TNH0810,7,28-I-2004,"En lugares nitrificados, de la duna primaria, con orietnación O",En flor,Escaso,R. Pino & J.J. Pino,LOU 26872,PreservedSpecimen
Asplenium billotii F.W. Schultz,Or,Padrenda,Alto de Penagache,29TNG6716,1220,17-I-2004,En una grieta muy protegido con orientación E,3 ejemplares,Escaso,"R. Pino, J.J. Pino & A. Pino",LOU 26873,PreservedSpecimen
Romulea bulbocodium (L.) Sebast. & Mauri,Po,Cangas,Alto de San Roque,29TNG1778,100,01-II-2004,Bajo bosque de Pinus pinaster,"De porte pequeño, el perianto menor de 13 mm",Frecuente,"R. Pino, J.J. Pino & J.L. Camaño",LOU 26874,PreservedSpecimen
Paraserianthes lophantha (Willd.) I.C. Nielsen,Po,Cangas,Salgueirón,29TNG1778,50,02-II-2004,En campo abandonado con orientación S,Varios ejemplares de 4 metros de alto,Escaso,"R. Pino, J.J. Pino & J.L. Camaño",LOU 26875,PreservedSpecimen
Teucrium fruticans L.,Po,Cangas,Salgueirón,29TNG1778,30,02-II-2004,"En talud rocoso, orientado al este","Crece escapado de cultivo, vegetando bien",Escaso,"R. Pino, J.J. Pino & J.L. Camaño",LOU 26876,PreservedSpecimen
Senecio petasites (Sims) DC.,Po,Cangas,Salgueirón,29TNG1778,20,02-II-2004,"Crece escapado de cultivo en zonas abandonadas de jardín, en geneal en zonas no expuestas en exceso y lugares nitrificados",Algunos ejemplares superan los 3 y 4 metros de altura,Frecuente,"R. Pino, J.J. Pino & J.L. Camaño",LOU 26877,PreservedSpecimen
Crithmum maritimum L.,C,Ribeira,A Insua da Rúa,29TNG0510,3,11-II-2004,En rocas cerca del mar,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26878,PreservedSpecimen
Sisymbrium austriacum subsp. chrysanthum (Jord.) Rouy & Foucaud,C,Ribeira,A Insua da Rúa,29TNG0510,15,11-II-2004,En zonas nitrificadas,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26880,PreservedSpecimen
Dactylis glomerata L.,C,Ribeira,A Insua da Rúa,29TNG0510,5,11-II-2004,En prados abandonados,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26881,PreservedSpecimen
Stenotaphrum secundatum (Walter) Kuntze,C,Ribeira,A Insua da Rúa,29TNG0510,3,11-II-2004,En zonas cerca del mar,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26882,PreservedSpecimen
Davallia canariensis (L.) Sm.,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,Sobre muros abandonados y en grietas de rocas protegidas,,Escaso,"R. Pino, J.J. Pino & J. Corral",LOU 26884,PreservedSpecimen
Beta maritima L.,C,Ribeira,A Insua da Rúa,29TNG0510,3,11-II-2004,En zonas cerca del mar,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26885,PreservedSpecimen
Cochlearia danica L.,C,Ribeira,A Insua da Rúa,29TNG0510,3,11-II-2004,En zonas cerca del mar nitrificadas,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26887,PreservedSpecimen
Urtica urens L.,C,Ribeira,A Insua da Rúa,29TNG0510,15,11-II-2004,En lugares nitrificados y en zona de sombra,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26893,PreservedSpecimen
Umbilicus rupestris (Salisb.) Dandy,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,En zonas sombrías y grietas,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26894,PreservedSpecimen
Lonicera periclymenum L.,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,Sobre muros abandonados,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26895,PreservedSpecimen
Sonchus oleraceus L.,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,"En bordes de prados abandonados, ahora muy nitrificados por las deyecciones de las gaviotas",,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26896,PreservedSpecimen
Romulea clusiana (Lange) Nyman,C,Ribeira,A Insua da Rúa,29TNG0510,5,11-II-2004,En prados soleados,De porte alto para emerger en medio de la vegetación,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26897,PreservedSpecimen
Plantago lanceolata L.,C,Ribeira,A Insua da Rúa,29TNG0511,10,11-II-2004,En prados abandonados,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26898,PreservedSpecimen
Geranium molle L.,C,Ribeira,A Insua da Rúa,29TNG0510,5,11-II-2004,En prados abandonados,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26899,PreservedSpecimen
Armeria pubigera (Desf.) Boiss.,C,Ribeira,A Insua da Rúa,29TNG0510,5,11-II-2004,En prados abandonados,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26900,PreservedSpecimen
Angelica pachycarpa Lange,C,Ribeira,A Insua da Rúa,29TNG0511,10,11-II-2004,"En zonas de sombra, grietas y otros lugares protegidos",,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26902,PreservedSpecimen
Sedum album L.,C,Ribeira,A Insua da Rúa,29TNG0411,10,11-II-2004,En grietas sobre rocas,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26903,PreservedSpecimen
Silene uniflora Roth subsp. uniflora,C,Ribeira,A Insua da Rúa,29TNG0511,10,11-II-2004,En zonas protegidas pero soleadas,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26904,PreservedSpecimen
Asplenium marinum L.,C,Ribeira,A Insua da Rúa,29TNG0510,10,11-II-2004,En grietas y lugares sombríos,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26905,PreservedSpecimen
Senecio vulgaris L.,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,En zonas de prados abandonados,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26906,PreservedSpecimen
Rubus ulmifolius Schott,C,Ribeira,A Insua da Rúa,29TNG0511,15,11-II-2004,En zonas de muros y oquedades,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26909,PreservedSpecimen
Jasione montana L.,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26911,PreservedSpecimen
Jasione montana L.,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26911,PreservedSpecimen
Corrigiola litoralis L.,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26912,PreservedSpecimen
Anthemis arvensis L.,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26913,PreservedSpecimen
Romulea clusiana (Lange) Nyman,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Escaso,R. Pino & J.J. Pino,LOU 26914,PreservedSpecimen
Cerastium diffusum Pers. subsp. diffusum,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26915,PreservedSpecimen
Myoporum laetum G. Forst.,Po,Redondela,Cesantes,29TNG3184,1,10-II-2004,En setos y bordes de la duna,"Cultivado, formando un seto en el acceso a la duna",Frecuente,R. Pino & J.J. Pino,LOU 26916,PreservedSpecimen
Tolpis barbata (L.) Gaertn.,Po,Cangas,Playa de Liméns,29TNG1579,10,07-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26918,PreservedSpecimen
Cistus salviifolius L.,Po,Cangas,Playa de Liméns,29TNG1579,10,07-II-2004,En dunas secundarias,,Frecuente,R. Pino & J.J. Pino,LOU 26919,PreservedSpecimen
Narcissus bulbocodium L.,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En talud rocoso, húmedo y sombrío, con escaso suelo",Con Anarrhinum duriminium (Brot.) Pers. no herborizado.,Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26922,PreservedSpecimen
Narcissus triandrus L.,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En talud rocoso, húmedo y sombrío, con escaso suelo",,Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26923,PreservedSpecimen
Anogramma leptophylla (L.) Link,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En talud de tierra con pendiente, bajo Acacia dealbata Link.",,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26924,PreservedSpecimen
Rumex induratus Boiss. & Reut.,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En talud de tierra con pendiente, bajo Acacia dealbata Link.",,Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26925,PreservedSpecimen
Lithodora prostrata (Loisel.) Griseb.,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En zona rocosa con pendiente, orientada al E",,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26926,PreservedSpecimen
Cytisus multiflorus (L'Hér.) Sweet,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,"En talud rocoso, en zona soleada",,Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26927,PreservedSpecimen
Acacia dealbata Link,Or,Cenlle,"Laias, Balneario",29TNG8086,100,22-II-2004,A orillas del río Miño y a lo largo de los taludes de caminos y carreteras que bordean al mismo,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26928,PreservedSpecimen
Veronica persica Poir.,Or,Ribadavia,Carretera a Quins,29TNG7081,140,22-II-2004,En zona de huerta en barbecho,,Escaso,"R. Pino, J.J. Pino & A. Pino",LOU 26929,PreservedSpecimen
Anogramma leptophylla (L.) Link,Or,Ribadavia,Carretera a Quins,29TNG7081,140,22-II-2004,En muros,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26930,PreservedSpecimen
Asplenium trichomanes L.,Or,Ribadavia,Carretera a Quins,29TNG7081,140,22-II-2004,En muros,,Frecuente,"R. Pino, J.J. Pino & A. Pino",LOU 26931,PreservedSpecimen
Polypodium cambricum L.,Or,Ribadavia,Carretera a Quins,29TNG7081,140,22-II-2004,En grietas de muros y paredes de piedra,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26933,PreservedSpecimen
Asplenium billotii F.W. Schultz,Or,Ribadavia,Carretera a Quins,29TNG7081,140,22-II-2004,En muros,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26934,PreservedSpecimen
Asplenium billotii F.W. Schultz,Or,Ribadavia,Castelo de Ribadavia,29TNG7082,110,22-II-2004,En muros de piedra,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26935,PreservedSpecimen
Anogramma leptophylla (L.) Link,Or,Ribadavia,Castelo de Ribadavia,29TNG7082,110,22-II-2004,Entre las piedras del muro del castillo de Ribadavia,,Abundante,"R. Pino, J.J. Pino & A. Pino",LOU 26937,PreservedSpecimen
Erodium cicutarium (L.) L'Hér.,Po,Moaña,Monte Jaján,29TNG2485,600,01-III-2004,En monte bajo de brezal-tojal,,Abundante,R. Pino & J.J. Pino,LOU 26938,PreservedSpecimen
Teesdalia nudicaulis (L.) R. Br.,Po,Moaña,Monte Jaján,29TNG2485,600,01-III-2004,En monte bajo de brezal-tojal,,Abundante,R. Pino & J.J. Pino,LOU 26939,PreservedSpecimen
Romulea bulbocodium (L.) Sebast. & Mauri,Po,Cangas,San Roque,29TNG1778,80,01-III-2004,Bajo Pinus pinaster,De pequño tamaño,Escaso,R. Pino & J.J. Pino,LOU 26940,PreservedSpecimen
Anthyllis vulneraria L.,Po,A Guarda,O Muiño,29TNG1035,5,06-III-2004,En zona costera rocosa de influencia marina,,Abundante,R. Pino & J.L. Camaño,LOU 26941,PreservedSpecimen
Romulea clusiana (Lange) Nyman,Po,A Guarda,Playa de Camposancos,29TNG1035,5,06-III-2004,En zona costera rocosa de influencia marina,,Abundante,R. Pino & J.L. Camaño,LOU 26942,PreservedSpecimen
Acacia longifolia (Andrews) Willd.,Po,Oia,San Xián,29TNG0948,30,06-III-2004,En márgenes de carretera y caminos,,Abundante,R. Pino & J.L. Camaño,LOU 26946,PreservedSpecimen
Bellis sylvestris Cirillo,Po,Oia,Arrabal,29TNG0952,20,06-III-2004,En prados removidos,A poca distancia había de manera abundante Bellis perennis,Escaso,R. Pino & J.L. Camaño,LOU 26947,PreservedSpecimen
Romulea bulbocodium (L.) Sebast. & Mauri,Po,Oia,Arrabal,29TNG0952,20,06-III-2004,En prados removidos algo apartados de la zona litoral donde abunda Romulea clusiana,,Escaso,R. Pino & J.L. Camaño,LOU 26948,PreservedSpecimen
Narcissus bulbocodium L.,Po,Oia,Arrabal,29TNG0952,20,06-III-2004,En prados removidos con tierras sueltas,,Escaso,R. Pino & J.L. Camaño,LOU 26949,PreservedSpecimen
Viola riviniana Rchb.,Po,Oia,Arrabal,29TNG0952,20,06-III-2004,En márgenes de caminos,1 ejemplar,Escaso,R. Pino & J.L. Camaño,LOU 26950,PreservedSpecimen
Senecio petasites (Sims) DC.,Po,Moaña,Isamil (Meira),29TNG2481,60,15-II-2004,Crece escapado de cultivo en zona rocosa sobre la carretera; parcialmente en sombra,Los ejemplares ocupan una superficie de unos 6 m2,Escaso,R. Pino & J.J. Pino,LOU 26951,PreservedSpecimen
Senecio petasites (Sims) DC.,Po,Bueu,Cementerio,29TNG1783,160,15-II-2004,"En el margen de la carretera, en zona sombría y nitrificada",Los ejemplares ocupan una superficie de unos 4 m2,Escaso,R. Pino & J.J. Pino,LOU 26952,PreservedSpecimen
Senecio petasites (Sims) DC.,Po,Marín,Seixo,29TNG2291,60,15-II-2004,"En el margen de la carretera, en zona sombría y posiblemente nitrificada",Los ejemplares ocupan una superficie de unos 12 m2,Escaso,R. Pino & J.J. Pino,LOU 26953,PreservedSpecimen
Ilex aquifolium L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En ladera de orientación N bajo Quercus robur, formando un verdadero bosquete",,Abundante,"R. Pino, J.J. Pino & R. Pino",LOU 26954,PreservedSpecimen
Ilex aquifolium L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En ladera de orientación N bajo Quercus robur, formando un verdadero bosquete",,Abundante,"R. Pino, J.J. Pino & R. Pino",LOU 26954,PreservedSpecimen
Ranunculus ollissiponensis Pers.,Or,Arnoia,"A Peneda, Cañón del río Arnoia",29TNG7375,200,03-III-2004,En márgenes de caminos sobre taludes expuestos al S,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26955,PreservedSpecimen
Erica arborea L.,Or,Arnoia,"A Peneda, Cañón del río Arnoia",29TNG7375,200,03-III-2004,En zonas de sotobosque,,Muy abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26956,PreservedSpecimen
Cytisus multiflorus (L'Hér.) Sweet,Or,Arnoia,"A Peneda, Cañón del río Arnoia",29TNG7375,200,03-III-2004,En zonas de sotobosque,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26957,PreservedSpecimen
Narcissus triandrus L.,Or,Arnoia,"A Peneda, Cañón del río Arnoia",29TNG7375,200,03-III-2004,"En taludes y cortados, márgenes de caminos y senderos",,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26958,PreservedSpecimen
Ulex europaeus L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,715,13-III-2004,En ladera sin arbolado,,Muy abundante,"R. Pino, J.J. Pino & R. Pino",LOU 26959,PreservedSpecimen
Narcissus bulbocodium L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,715,13-III-2004,En prados húmedos de orientación E,,Abundante,"R. Pino, J.J. Pino & R. Pino",LOU 26960,PreservedSpecimen
Lithodora prostrata (Loisel.) Griseb.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,715,13-III-2004,En prados inclinados de orientación E,,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26961,PreservedSpecimen
Narcissus cyclamineus DC.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En prados muy húmedos en zona sombría o con vegetación,,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26962,PreservedSpecimen
Blechnum spicant (L.) Roth,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En talud de arroyo en zona sombría,,Abundante,"R. Pino, J.J. Pino & R. Pino",LOU 26964,PreservedSpecimen
Dryopteris affinis (Lowe) Fraser-Jenk.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En talud de arroyo en zona sombría,,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26965,PreservedSpecimen
Caltha palustris L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En talud de arroyo en zona sombría,,Escaso,"R. Pino, J.J. Pino & R. Pino",LOU 26966,PreservedSpecimen
Primula acaulis (L.) L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En lugares cercanos a arroyos en sombra,,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26967,PreservedSpecimen
Anemone trifolia L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,En prados húmedos en sombra o con vegetación,,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26968,PreservedSpecimen
Asplenium billotii F.W. Schultz,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En talud de corredoira, sombría y húmeda",,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26969,PreservedSpecimen
Cystopteris fragilis (L.) Bernh.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En talud de corredoira, sombría y húmeda",,Escaso,"R. Pino, J.J. Pino & R. Pino",LOU 26970,PreservedSpecimen
Blechnum spicant (L.) Roth,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En talud de corredoira, sombría y húmeda",,Frecuente,"R. Pino, J.J. Pino & R. Pino",LOU 26971,PreservedSpecimen
Anogramma leptophylla (L.) Link,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En talud de corredoira, sombría y húmeda",,Escaso,"R. Pino, J.J. Pino & R. Pino",LOU 26972,PreservedSpecimen
Asplenium onopteris L.,Po,A Cañiza,"A Franqueira, Regato do Porto Escuro",29TNG5470,717,13-III-2004,"En talud de corredoira, sombría y húmeda",,Escaso,"R. Pino, J.J. Pino & R. Pino",LOU 26973,PreservedSpecimen
Elymus farctus (Viv.) Melderis,C,Ribeira,Vionta,29TMH9905,11,17-III-2004,En primera línea de playa,,Abundante,"R. Pino, J.J. Pino & J. Corral",LOU 26974,PreservedSpecimen
Crithmum maritimum L.,C,Ribeira,Vionta,29TMH9905,11,17-III-2004,En las dunas,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26975,PreservedSpecimen
Polygonum maritimum L.,C,Ribeira,Vionta,29TMH9905,11,17-III-2004,En dunas primarias,,Frecuente,"R. Pino, J.J. Pino & J. Corral",LOU 26976,PreservedSpecimen
Armeria sp.,Le,Candín,"Camino entre el puerto de Ancares y el Miravalles, sobre la cresta rocosa",29TPH7949,1700,29-XI-2003,En grietas algo abrigadas de la roca,,,A.C. Vázquez & G. Vázquez,LOU 27034,PreservedSpecimen
Corrigiola litoralis L.,Po,Oia,Cabo Silleiro,29TNG0861,0,24-VII-2004,superficie de destierre a poca distancia de la línea de marea,,abundante,A.C. Vázquez,LOU 27035,PreservedSpecimen
