occurrenceID,dwc_references,identifier,title,author,imagedate,rightsholder,description,description_with_links,license
SANT:SANT:63159-A,http://www.usc.es/herbario?SANT_63159,http://193.144.34.193/imsrv/santimagethumb.php?id=3620,SANT 63159: Potentilla montana Brot.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63159: Potentilla montana Brot. [Click reference links for details & high resolution images],SANT 63159: Potentilla montana Brot. <a href=http://www.usc.es/herbario?SANT_63159 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63159-A,http://www.usc.es/herbario?SANT_63159,http://193.144.34.193/imsrv/santimagethumb.php?id=3621,SANT 63159: Potentilla montana Brot.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63159: Potentilla montana Brot. [Click reference links for details & high resolution images],SANT 63159: Potentilla montana Brot. <a href=http://www.usc.es/herbario?SANT_63159 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63160-A,http://www.usc.es/herbario?SANT_63160,http://193.144.34.193/imsrv/santimagethumb.php?id=3622,SANT 63160: Potentilla anserina L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63160: Potentilla anserina L. [Click reference links for details & high resolution images],SANT 63160: Potentilla anserina L. <a href=http://www.usc.es/herbario?SANT_63160 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63160-A,http://www.usc.es/herbario?SANT_63160,http://193.144.34.193/imsrv/santimagethumb.php?id=3623,SANT 63160: Potentilla anserina L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63160: Potentilla anserina L. [Click reference links for details & high resolution images],SANT 63160: Potentilla anserina L. <a href=http://www.usc.es/herbario?SANT_63160 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63160-A,http://www.usc.es/herbario?SANT_63160,http://193.144.34.193/imsrv/santimagethumb.php?id=3624,SANT 63160: Potentilla anserina L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63160: Potentilla anserina L. [Click reference links for details & high resolution images],SANT 63160: Potentilla anserina L. <a href=http://www.usc.es/herbario?SANT_63160 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63160-A,http://www.usc.es/herbario?SANT_63160,http://193.144.34.193/imsrv/santimagethumb.php?id=3625,SANT 63160: Potentilla anserina L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63160: Potentilla anserina L. [Click reference links for details & high resolution images],SANT 63160: Potentilla anserina L. <a href=http://www.usc.es/herbario?SANT_63160 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63161-A,http://www.usc.es/herbario?SANT_63161,http://193.144.34.193/imsrv/santimagethumb.php?id=3626,SANT 63161: Geum urbanum L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63161: Geum urbanum L. [Click reference links for details & high resolution images],SANT 63161: Geum urbanum L. <a href=http://www.usc.es/herbario?SANT_63161 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63161-A,http://www.usc.es/herbario?SANT_63161,http://193.144.34.193/imsrv/santimagethumb.php?id=3627,SANT 63161: Geum urbanum L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63161: Geum urbanum L. [Click reference links for details & high resolution images],SANT 63161: Geum urbanum L. <a href=http://www.usc.es/herbario?SANT_63161 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63161-A,http://www.usc.es/herbario?SANT_63161,http://193.144.34.193/imsrv/santimagethumb.php?id=3628,SANT 63161: Geum urbanum L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63161: Geum urbanum L. [Click reference links for details & high resolution images],SANT 63161: Geum urbanum L. <a href=http://www.usc.es/herbario?SANT_63161 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
SANT:SANT:63161-A,http://www.usc.es/herbario?SANT_63161,http://193.144.34.193/imsrv/santimagethumb.php?id=3629,SANT 63161: Geum urbanum L.,D.G.SanLeón,2010-12-21T20:00:00,D.G.SanLeón,SANT 63161: Geum urbanum L. [Click reference links for details & high resolution images],SANT 63161: Geum urbanum L. <a href=http://www.usc.es/herbario?SANT_63161 target=_blank>Click here for details & hi-res version</a>,If you want to use any images ask author for permission
