collectionCode,scientificName,identifiedBy,verbatimIdentification,identificationRemarks,identificationQualifier,identificationReferences,year,month,day,recordedBy,otherCatalogNumbers,countryCode,stateProvince,county,verbatimLocality,verbatimCoordinates,verbatimElevation,habitat,9069,catalogNumber,occurrenceID,basisOfRecord
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch.,E. Fuertes,Abietinella abietina (Hedw.) Fleisch.,,,,1971,3,24,E. Fuertes.,BH408,ES,Te,,Los Bronchales (Teruel).,,,Formando tapiz en el suelo del robledal.,,1001-A,SANT:SANT-Bryo:1001-A,HumanObservation
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch.,C. Casas,Abietinella abietina (Hedw.) Fleisch.,,,,1972,4,2,M. Ladero.,BH515,ES,Cu,,Cerca de Uña (Cuenca),,,Laderas con Buxus sempervirens .,,1002-A,SANT:SANT-Bryo:1002-A,HumanObservation
SANT-Bryo,Abietinella abietina (Hedw.) M.Fleisch. var. hystricosa (Mitt.) Sakurai,P. Heras,Abietinella abietina (Hedw.) Fleisch. ssp. histricosa Mitt.,,cf.,,1983,12,31,P. Heras.,BH751,ES,Vi,,Hueto Arriba (Alava).,WN1750,40.0,Suelo. Calizas.,,1003-A,SANT:SANT-Bryo:1003-A,HumanObservation
SANT-Bryo,"Acaulon dertosense Casas, Sérgio, Cros & Brugués ",C. Casas,"Acaulon dertosense Casas, Sérgio, Cros et Brugués",,,,1988,11,25,R.M.Ros y P.García-Zamora.,BH1189,ES,A,,Torrevieja (Alicante).,XH9706,0.0,"suelos desnudos, arenosos en el borde de una rambla.",,1004-A,SANT:SANT-Bryo:1004-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,C.Casas,Acaulon triquetrum (Spruce)C.Müll.,,,,1973,1,8,C. Casas.,BH448,ES,T,,Villalba de los Arcos (Tarragona).,,,Suelo arcilloso calcáreo descubierto.,,1005-A,SANT:SANT-Bryo:1005-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,E. Fuertes,Acaulon triquetrum (Spruce.) C. Müll.,,,,1973,1,20,E. Fuertes.,BH841,ES,To,,Añover de Tajo (Toledo),,,Cerros yesíferos.,,1006-A,SANT:SANT-Bryo:1006-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,P.Heras,Acaulon triquetrum (Spruce) C.Müll.,,,,1986,2,21,P. Heras.,BH985,ES,Vi,,Navaridas (Arava).,30TWN2910,540.0,"Tierras removidas, sustrato calcáreo.",,1007-A,SANT:SANT-Bryo:1007-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,R.M.Ros,Acaulon triquetrum (Spruce)C. Müll.,,,,1985,3,16,R.M. Ros.,BH904,ES,Mu,,Caravaca (Murcia).,30SXH9920,700.0,"Yesos masivos, suelo arcilloso.",,1008-A,SANT:SANT-Bryo:1008-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,R.M.Ros,Acaulon triquetrum (Spruce)C. Müll.,,,,1986,10,26,R.M.Ros.,BH1170,ES,ES -,,Puerta de Moratalla.,WH9130,700.0,Suelo arcilloso en borde de camino.,,1009-A,SANT:SANT-Bryo:1009-A,HumanObservation
SANT-Bryo,Acaulon triquetrum (Spruce) Müll.Hal.,V. Canalís.,Acaulon triquetrum (Spruce)C.Müll.,,,,1986,2,14,V. Canalís.,BH1210,ES,B,,"Garraf, (Barcelona).",31TDF1069,30.0,Suelo arcilloso sobre roca calcárea. .,,1010-A,SANT:SANT-Bryo:1010-A,HumanObservation
SANT-Bryo,Acrocladium cuspidatum (Hedw.) Lindb.,J.Reinoso,Acrocladium cuspidatum (Hedw.)Lindb.,,,,1979,9,23,J.Reinoso.,,ES,C,,Caaveiro (A Coruña),,,Tierra húmeda. Robledal.,,1011-A,SANT:SANT-Bryo:1011-A,HumanObservation
SANT-Bryo,Adelanthus decipens (Hook.) Mitt.,J.Reinoso,Adelanthus decipiens (Hook.)Mitt.,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-A,SANT:SANT-Bryo:1012-A,HumanObservation
SANT-Bryo,Thuidium tamariscinum (Hedw.) Schimp.,J.Reinoso,,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-B,SANT:SANT-Bryo:1012-B,HumanObservation
SANT-Bryo,Lejeunea cavifolia (Ehrh.) Lindb.,J.Reinoso,,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-C,SANT:SANT-Bryo:1012-C,HumanObservation
SANT-Bryo,Plagiochila spinulosa (Dicks.) Dumort.,J.Reinoso,,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-D,SANT:SANT-Bryo:1012-D,HumanObservation
SANT-Bryo,Frullania tamarisci (L.) Dumort.,J.Reinoso,,,,,1981,5,13,J.Reinoso.,955,ES,C,,Caaveiro (A Coruña),,,Rocas húmedas con Hymenophyllum,,1012-E,SANT:SANT-Bryo:1012-E,HumanObservation
SANT-Bryo,Adelanthus decipens (Hook.) Mitt.,R.Schumacker et J.Reinoso.,Adelanthus decipiens (Hook.)Mitt.,,,,1987,3,5,R.Schumacker et J.Reinoso.,,ES,C,,Caaveiro (A Coruña),,,Rocas ácidas.,,1013-A,SANT:SANT-Bryo:1013-A,HumanObservation
SANT-Bryo,Aloina aloides (Koch ex Schultz) Kindb.,J.Varo.,Aloina aloides (K.F.Schultz.)Kindb.,,,,1969,2,,J.Varo.,BH732,ES,Gr,,Riofrío (Granada).,,,Rocas,,1014-A,SANT:SANT-Bryo:1014-A,HumanObservation
SANT-Bryo,Aloina ambigua (Bruch & Schimp.) Limpr.,M.C.Viera,,,,,1969,2,,J.Varo.,BH733,ES,Gr,,Sierra Elvira (Granada).,,,Rocas.,,1015-A,SANT:SANT-Bryo:1015-A,HumanObservation
SANT-Bryo,Aloina ambigua (Bruch & Schimp.) Limpr.,M.C.Viera,,,,,1969,2,,J.Varo.,BH734,ES,nan,,Riofrío (Granada).,,,Rocas,,1015-A,SANT:SANT-Bryo:1015-A,HumanObservation
SANT-Bryo,Aloina bifrons (De Not.) Delgad.,J.Guerra y R.Ros.,Aloina bifrons (De Not.)Delg.,,,,1987,2,20,J.Guerra y R.Ros. Y Jimenez,BH1166,ES,Gr,,Yeseras de Sorbas (Almería).,WG8307,400.0,Suelo arcilloso yesífero al borde de camino.,,1016-A,SANT:SANT-Bryo:1016-A,HumanObservation
SANT-Bryo,Amblystegium varium (Hedw.) Lindb.,E.Fuertes.,Amblystegium varium (Hedw.)Lindb.,,,,1987,7,25,E.Fuertes.,,ES,nan,,Valle de Benasque (Huesca).,,1200.0,Rocas húmedas y sombrías.,,1016-A,SANT:SANT-Bryo:1016-A,HumanObservation
SANT-Bryo,Amphidium mougeotii (Bruch & Schimp.) Schimp.,F.Lloret.,Amphidium mougeotti (B.S.G.)Schimp.,,,,1985,10,20,F.Lloret.,BH946,ES,Al,,Vilallonga de Ter (Girona).,DG4388,1350.0,Grietas en una pared de esquistos.,,1017-A,SANT:SANT-Bryo:1017-A,HumanObservation
SANT-Bryo,Amphidium mougeotii (Bruch & Schimp.) Schimp.,C.Casas.,Amphidium mougeotti (B.S.G.)Schimp.,,,,1969,8,13,C.Casas.,BH1075,ES,Hu,,Vallferrera (Lleida). Entre Alins y Arco,,1100.0,Rocas húmedas.,,1018-A,SANT:SANT-Bryo:1018-A,HumanObservation
SANT-Bryo,Amphidium mougeotii (Bruch & Schimp.) Schimp.,V.Canalis.,Amphidium mougeotti (B.S.G.)Schimp.,,,,1984,9,17,V.Canalis.,BH1203,ES,Ge,,Vall d´Aran (Lleida).,31TCH1522,1740.0,Rocas graníticas húmedas en hayedo.,,1019-A,SANT:SANT-Bryo:1019-A,HumanObservation
SANT-Bryo,Anacolia webbii (Mont.) Schimp.,A.Losada & E.Beltrán.,Anacolia webbi (Mont.)Schimp.,,,,1986,2,19,A.Losada & E.Beltrán.,BH1015,ES,L,,Las Lagunetas (Tenerife).,28RCS6244,,Talud de tierra.,,1020-A,SANT:SANT-Bryo:1020-A,HumanObservation
SANT-Bryo,Anacolia webbii (Mont.) Schimp.,A.Acuña.,Anacolia webbi (Mont.)Schimp.,,,,1971,9,,A.Acuña.,BH340,ES,L,,Monte de la Esperanza (Tenerife).,,,Sobre tierra.,,1021-A,SANT:SANT-Bryo:1021-A,HumanObservation
SANT-Bryo,Anacolia webbii (Mont.) Schimp.,C.Casas.,Anacolia webbi (Mont.)Schimp.,,,,1976,9,23,C.Casas.,BH614,ES,Tf,,Casares de las Hurdes (Cáceres).,,,Rocas silíceas,,1022-A,SANT:SANT-Bryo:1022-A,HumanObservation
SANT-Bryo,Anacolia webbii (Mont.) Schimp.,A.Losada.,Anacolia webbi (Mont.)Schimp.,,,,1989,4,1,A.Losada & J.González.,BH1330,ES,Tf,,Los Sauces (La Palma).,28RBS2586,,Pared de roca con tierra.,,1023-A,SANT:SANT-Bryo:1023-A,HumanObservation
SANT-Bryo,Anastrophyllum minutum (Schreb.) R.M.Schust.,E.Fuertes Lasala,Anastrophyllum minutum (Schreb.)Schust.,,,,1988,6,7,E.Fuertes.,BH1333,ES,CC,,Huidobro (Burgos),,,Areniscas albienses rezumantes en melojar.,,1024-A,SANT:SANT-Bryo:1024-A,HumanObservation
SANT-Bryo,Andreaea heinemannii Hampe & Müll.Hal.,M.C.Viera,,,,,1985,12,10,Mª.J.Elías.,BH1146,ES,Tf,,Candelario (Salamanca).,30TTK6469,1200.0,Sobre granitos en muros de separación.,,1025-A,SANT:SANT-Bryo:1025-A,HumanObservation
SANT-Bryo,Andreaea crassinervia Bruch,J.Reinoso.,Andreaea crassinervia Bruch.,,,,1981,4,13,J.Reinoso.,857,ES,Bu,,Caaveiro (A Coruña).,,,Rocas silíceas soleadas.,,1026-A,SANT:SANT-Bryo:1026-A,HumanObservation
SANT-Bryo,Andreaea crassinervia Bruch,J.Reinoso.,Andreaea crassinervia Bruch.,,,,1981,9,25,J.Reinoso.,,ES,Sa,,Caaveiro (A Coruña).,,,Rocas silíceas,,1027-A,SANT:SANT-Bryo:1027-A,HumanObservation
SANT-Bryo,Andreaea crassinervia Bruch,J.Reinoso.,Andreaea crassinervia Bruch.,,,,1982,2,27,J.Reinoso.,,ES,nan,,Caaveiro (A Coruña).,,,Rocas,,1027-A,SANT:SANT-Bryo:1027-A,HumanObservation
SANT-Bryo,Andreaea nivalis Hook.,Mª J.Elías.,,,,,1985,7,17,Mª J.Elías.,BH1145,ES,C,,"Sierra de Béjar, (Avila).",30TTK6965,2150.0,Sobre granitos rezumantes.,,1028-A,SANT:SANT-Bryo:1028-A,HumanObservation
SANT-Bryo,Andreaea nivalis Hook.,C.Casas.,,,,,,,,C.Casas.,BH767,ES,C,,"Estany d´Amitges, Pallars Sobirá (Lleida).",,2400.0,Sobre rocas húmedas.,,1029-A,SANT:SANT-Bryo:1029-A,HumanObservation
SANT-Bryo,Andreaea rothii F.Weber & D.Mohr,J.Varo.,Andreaea rothii Web et Mohr.,,,,1973,7,14,J.Varo.,BH646,ES,C,,"Veleta, Sierra Nevada (Granada).",,3200.0,Sobre pizarras rezumantes.,,1030-A,SANT:SANT-Bryo:1030-A,HumanObservation
SANT-Bryo,Andreaea rothii F.Weber & D.Mohr,J.Varo.,Andreaea rothii Web. et Mohr.,,,,1986,12,2,J.Varo.,BH1047,ES,Av,,"Monte Meda, Padrón (A Coruña).",,400.0,Granitos,,1031-A,SANT:SANT-Bryo:1031-A,HumanObservation
SANT-Bryo,Andreaea rothii F.Weber & D.Mohr,C.Casas.,Andreaea rothii Web. et Mohr. var. papillosa,,cf.,,1976,9,22,C.Casas.,BH609,ES,L,,"Peña de Francia (Salamanca), en el Paso del Lobo",,1450.0,Pizarras silíceas.,,1032-A,SANT:SANT-Bryo:1032-A,HumanObservation
SANT-Bryo,Andreaea frigida Huebener,M.C.Viera,,,,,1985,10,24,MºJ.Elías.,BH1147,ES,Gr,,Sierra de Béjar (Salamanca).,30TTK7370,2000.0,Granitos rezumantes.,,1033-A,SANT:SANT-Bryo:1033-A,HumanObservation
SANT-Bryo,Andreaea rothii F.Weber & D.Mohr,C.Casas.,Andreaea rothii Web.& Mohr. var. papillosa,,cf.,,1976,9,22,C.Casas.,BH609,ES,C,,"Peña de Francia (Salamanca), en el Paso del Lobo",,1450.0,Pizarras silíceas.,,1034-A,SANT:SANT-Bryo:1034-A,HumanObservation
SANT-Bryo,Andreaea alpestris (Thed.) Schimp.,M.C.Viera,,,,,1968,8,30,C.Casas.,BH606,ES,Sa,,"Vallferrera (Lleida), cerca de la Farga.",,1500.0,Rocas silíceas,,1035-A,SANT:SANT-Bryo:1035-A,HumanObservation
SANT-Bryo,Andreaea alpestris (Thed.) Schimp.,M.C.Viera,,,,,1985,6,22,M.Mercé Sanz.,BH956,ES,Sa,,Pallars Sobirá (Lleida).,31TCH6426,1800.0,Roca granítica.,,1036-A,SANT:SANT-Bryo:1036-A,HumanObservation
SANT-Bryo,Riccardia multifida (L.) Gray,M.C.Viera,,,,,1973,3,18,R.M.Simó.,BH482,ES,nan,,Puerto del Connio (Asturias).,,680.0,Taludes muy húmedos.,,1036-A,SANT:SANT-Bryo:1036-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,R.M.Simó.,Aneura pinguis (L.)Dum.,,,,1971,8,13,R.M.Simó.,BH330,ES,Sa,,Fuente Dé (Santander).,,400.0,Talud calcáreo.,,1037-A,SANT:SANT-Bryo:1037-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,J.Reinoso.,Aneura pinguis (L.) Dum.,,,,1981,3,3,J.Reinoso.,683,ES,L,,Caaveiro (A Coruña).,,,Piedras en un arroyo.,,1038-A,SANT:SANT-Bryo:1038-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,J.Reinoso.,Aneura pinguis (L.)Dum.,,,,1981,2,5,J.Reinoso.,,ES,nan,,Caaveiro (A Coruña).,,,Piedras sumergidas en un arroyo.,,1038-A,SANT:SANT-Bryo:1038-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,J.Reinoso.,Aneura pinguis (L.)Dum.,,,,1981,3,3,J.Reinoso.,683,ES,L,,Caaveiro (A Coruña).,,,Piedras en un arroyo.,,1039-A,SANT:SANT-Bryo:1039-A,HumanObservation
SANT-Bryo,Chiloscyphus polyanthos (L.) Corda,J.Reinoso.,,,,,1981,2,5,J.Reinoso.,,ES,nan,,Caaveiro (A Coruña).,,,Piedras sumergidas en un arroyo.,,1039-A,SANT:SANT-Bryo:1039-A,HumanObservation
SANT-Bryo,Chiloscyphus polyanthos (L.) Corda,J.Reinoso.,,,,,1981,3,3,J.Reinoso.,683,ES,O,,Caaveiro (A Coruña).,,,Piedras en un arroyo.,,1040-A,SANT:SANT-Bryo:1040-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,J.Reinoso.,Aneura pinguis (L.)Dum.,,,,1981,4,13,J.Reinoso.,901,ES,nan,,Caaveiro (A Coruña),,,Sobre piedras en una fuente.,,1040-A,SANT:SANT-Bryo:1040-A,HumanObservation
SANT-Bryo,Cyclodictyon laetevirens (Hook. & Taylor) Mitt.,J.Reinoso.,,,,,1981,4,13,J.Reinoso.,901,ES,S,,Caaveiro (A Coruña),,,Sobre piedras en una fuente.,,1041-A,SANT:SANT-Bryo:1041-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,P.Heras.,Aneura pinguis (L.)Dum.,,,,1986,1,14,P.Heras.,BH973,ES,C,,"Puerto de Azáceta, (Araba).",30TWN3937,800.0,Bordes de regato.,,1042-A,SANT:SANT-Bryo:1042-A,HumanObservation
SANT-Bryo,Aneura pinguis (L.) Dumort.,J.Alvarez.,Aneura pinguis (L.) Dum.,,,,1984,3,12,J.Alvarez.,2500,ES,C,,Agro da Coba (Santiago).,29TNH3146,,Roca rezumante,,1042-B,SANT:SANT-Bryo:1042-B,HumanObservation
SANT-Bryo,Pellia epiphylla (L.) Corda,J.Álvarez,,,,,1984,3,12,J.Álvarez,2500,ES,C,,Agro da Coba (Santiago).,29TNH3146,,Roca rezumante,,1042-B,SANT:SANT-Bryo:1042-B,HumanObservation
SANT-Bryo,Fissidens polyphyllus Wilson ex Bruch & Schimp.,J.Álvarez,,,,,1984,3,12,J.Álvarez,2500,ES,C,,Agro da Coba (Santiago).,29TNH3146,,Roca rezumante,,1043-A,SANT:SANT-Bryo:1043-A,HumanObservation
SANT-Bryo,Plagiothecium nemorale (Mitt.) A.Jaeger,J.Álvarez,,,,,1984,3,12,J.Álvarez,2500,ES,C,,Agro da Coba (Santiago).,29TNH3146,,Roca rezumante,,1043-B,SANT:SANT-Bryo:1043-B,HumanObservation
SANT-Bryo,Thamnobryum alopecurum (Hedw.) Gangulee,J.Álvarez,,,,,1984,3,12,J.Álvarez,2500,ES,Vi,,Agro da Coba (Santiago).,29TNH3146,,Roca rezumante,,1044-A,SANT:SANT-Bryo:1044-A,HumanObservation
SANT-Bryo,Anisothecium howei (Hedw.) Mitt.,R.M.Ros.,Anisothecium howei Ren & Card,,cf.,,1984,4,8,R.M.Ros.,BH857,ES,C,,Sierra de Burete (Murcia).,30SXH1013,600.0,"Fondo de rambla, seco.",,1045-A,SANT:SANT-Bryo:1045-A,HumanObservation
SANT-Bryo,Anisothecium howei (Hedw.) Mitt.,F.Puche.:,Anisothecium howeii Ren. & Card.,,cf.,,1987,4,,F.Puche.:,BH1091,ES,C,,Barranco del Savater (Valencia).,YK2295,400.0,Talud.,,1045-B,SANT:SANT-Bryo:1045-B,HumanObservation
SANT-Bryo,Anisothecium palustre (Dicks.) I.Hagen,A.Ederra ,Anisothecium palustre (Dicks.)I.Hag,,,,1986,6,26,A.Ederra & A. de Miguel.,BH1096,ES,C,,Monte Mendaur (Navarra),30TXN0579,1000.0,Turbera.,,1045-C,SANT:SANT-Bryo:1045-C,HumanObservation
SANT-Bryo,Dicranella rufescens (Dicks.) Schimp.,M.C.Viera,,,cf.,,1976,9,21,C.Casas.,BH1069,ES,C,,"Sierra de Gredos, Puerto del Pico (Avila).",,1352.0,Taludes,,1045-D,SANT:SANT-Bryo:1045-D,HumanObservation
SANT-Bryo,Dicranella rufescens (Dicks.) Schimp.,M.C.Viera,,,cf.,,1976,10,17,E.Fuertes.,BH720,ES,C,,Robledal de Obara (Navarra).,,,Taludes arcillosos.,,1045-E,SANT:SANT-Bryo:1045-E,HumanObservation
SANT-Bryo,Dicranella varia (Hedw.) Schimp.,M.C.Viera,,,,,1974,11,10,C.Casas.,BH610,ES,Mu,,Ribadesella (Asturias).,,,Taludes húmedos,,1046-A,SANT:SANT-Bryo:1046-A,HumanObservation
SANT-Bryo,Dicranella varia (Hedw.) Schimp.,M.C.Viera,,,,,1976,10,17,E.Fuertes.,BH836,ES,V,,Obara (Navarra).,,,Talud arcilloso en robledal.,,1047-A,SANT:SANT-Bryo:1047-A,HumanObservation
SANT-Bryo,Anoectangium aestivum (Hedw.) Mitt.,M.C.Viera,,,,,1971,9,,A. Acuña.,BH341,ES,Na,,Monte de la esperanza (Tenerife).,,,Sobre tierra.,,1048-A,SANT:SANT-Bryo:1048-A,HumanObservation
SANT-Bryo,Amphidium tortuosum (Hornsch.) Cufod.,C.Casas,,,,,1971,9,,A. Acuña.,BH341,ES,Av,,Monte de la esperanza (Tenerife).,,,Sobre tierra.,,1049-A,SANT:SANT-Bryo:1049-A,HumanObservation
SANT-Bryo,Anoectangium aestivum (Hedw.) Mitt.,M.C.Viera,,,,,1989,3,12,J.M.González.,BH1237,ES,nan,,Teide (Tenerife).,28RCS3427,2200.0,Pared húmeda en el interior de la cueva.,,1049-A,SANT:SANT-Bryo:1049-A,HumanObservation
SANT-Bryo,Anomobryum julaceum var.concinnatum (Spruce) J.E.Zetterst.,M.C.Viera,,,cf.,,1975,8,2,C.Casas.,BH569,ES,Na,,Lladorre (Lleida).,,1000.0,Pared rocosa de una cascada.,,1050-A,SANT:SANT-Bryo:1050-A,HumanObservation
SANT-Bryo,Anomobryum filiforme (Dicks.) Solms var. filiforme,J. Reinoso.,Anomobryum filiforme (Dicks.)Solms.,,cf.,,1979,3,2,J. Reinoso.,2,ES,nan,,Caaveiro (A Coruña).,,,Muro de contención.,,1050-A,SANT:SANT-Bryo:1050-A,HumanObservation
SANT-Bryo,Anomobryum filiforme (Dicks.) Solms var. filiforme,J.Reinoso.,Anomobryum filiforme (Dicks.)Solms.,,cf.,,1981,2,5,J.Reinoso.,677,ES,O,,Caaveiro (A Coruña),,,Muro de contención.,,1051-A,SANT:SANT-Bryo:1051-A,HumanObservation
SANT-Bryo,Anomobryum filiforme (Dicks.) Solms var. filiforme,J.Reinoso.,Anomobryum filiforme (Dicks.)Solms.,,cf.,,1981,3,25,J.Reinoso.,799,ES,nan,,Caaveiro (A Coruña),,,Muro,,1051-A,SANT:SANT-Bryo:1051-A,HumanObservation
SANT-Bryo,Ptychomitrium polyphyllum (Dicks. ex Sw.) Bruch & Schimp.,J.Reinoso.,,,,,1981,3,25,J.Reinoso.,799,ES,Na,,Caaveiro (A Coruña),,,Muro,,1052-A,SANT:SANT-Bryo:1052-A,HumanObservation
SANT-Bryo,Tortula muralis Hedw.,J.Reinoso.,,,,,1981,3,25,J.Reinoso.,799,ES,nan,,Caaveiro (A Coruña),,,Muro,,1052-A,SANT:SANT-Bryo:1052-A,HumanObservation
SANT-Bryo,"Anomobryum julaceum (Schrad. ex P.Gaertn., B.Meyer & Scherb.) Schimp.",M.C.Viera,,,cf.,,1975,7,26,J.Varo.,BH639,ES,Tf,,Sierra Nevada (Granada). Barranco Río Poqueira,,1300.0,Suelo,,1053-A,SANT:SANT-Bryo:1053-A,HumanObservation
SANT-Bryo,"Anomobryum julaceum (Schrad. ex P.Gaertn., B.Meyer & Scherb.) Schimp.",C.Casas.,Anomobryum julaceum Schimp.,,,,1976,9,21,C.Casas.,BH1071,ES,nan,,Pedro Bernardo (Avila).,UK45,,Talud en un pinar,,1053-A,SANT:SANT-Bryo:1053-A,HumanObservation
SANT-Bryo,Anomodon attenuatus (Hedw.) Huebener,C.Casas.,Anomodon attenuatus (Hedw.)Hüb.,,,,1984,11,,C.Casas.,BH944,ES,Tf,,Olot (Girona).,DG57,,Sobre lavas,,1053-B,SANT:SANT-Bryo:1053-B,HumanObservation
SANT-Bryo,Anomodon rostratus (Hedw.) Schimp.,M.Sanz.,Anomodon rostratus (Hedw.)Schimp.,,,,1984,3,18,M.Sanz.,BH803,ES,Tf,,Vidrá (Girona).,31TDG4465,980.0,Sobre marga en talud sombrío.,,1054-A,SANT:SANT-Bryo:1054-A,HumanObservation
SANT-Bryo,Anomodon viticulosus (Hedw.) Hook. & Taylor,C.Casas.,Anomodon viticulosus (Hedw.)Hook.,,,,1973,3,4,M.Ladero.,BH521,ES,nan,,Mirones (Santander).,,,Robledal.,,1054-A,SANT:SANT-Bryo:1054-A,HumanObservation
SANT-Bryo,Anomodon viticulosus (Hedw.) Hook. & Taylor,F.Puche.,Anomodon viticulosus (Hedw.)Hook.,,,,1978,9,9,F.Puche.,BH911,ES,L,,Cantavieja (Teruel).,YK18,1600.0,Rocas calizas.,,1055-A,SANT:SANT-Bryo:1055-A,HumanObservation
SANT-Bryo,Anthelia juratzkana (Limpr.) Trevis.,C.Casas.,Anthelia juratzkana (Limpr.) Trev.,,,,1975,8,16,C.Casas.,BH697,ES,nan,,Espot (Lleida).,,,Rellano húmedo.,,1055-A,SANT:SANT-Bryo:1055-A,HumanObservation
SANT-Bryo,Phaeoceros laevis (L.) Prosk.,M.C.Viera,,,,,,,,R.M.Simó.,BH383,ES,C,,Toverga (Asturias).,,260.0,Talud húmedo,,1056-A,SANT:SANT-Bryo:1056-A,HumanObservation
SANT-Bryo,Anthoceros laevis L.,J.Reinoso.,,,,,1981,5,13,J.Reinoso.,989,ES,C,,Caaveiro (A Coruña).,,,Talud rezumante.,,1057-A,SANT:SANT-Bryo:1057-A,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Reinoso.,,,,,1981,4,13,J.Reinoso.,896,ES,C,,Caaveiro (A Coruña).,,,Tierra húmeda.,,1058-A,SANT:SANT-Bryo:1058-A,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,E.Fuertes.,,,,,1969,4,3,M.Ladero.,BH672,ES,C,,Candeleda (Avila),,,Talud.,,1058-B,SANT:SANT-Bryo:1058-B,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Reinoso.,,,,,1979,4,12,J.Reinoso.,29,ES,C,,Caaveiro (A Coruña).,,,Talud húmedo.,,1058-C,SANT:SANT-Bryo:1058-C,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Reinoso.,,,,,1981,2,5,J.Reinoso.,710,ES,Gr,,Caaveiro (A Coruña).,,,Talud rezumante.,,1059-A,SANT:SANT-Bryo:1059-A,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Reinoso.,,,,,1981,4,13,J.Reinoso.,954,ES,nan,,Caaveiro (A Coruña),,,Talud húmedo.,,1059-A,SANT:SANT-Bryo:1059-A,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Reinoso.,,,,,1981,4,29,J.Reinoso.,,ES,Av,,Caaveiro (A Coruña).,,,Talud húmedo.,,1060-A,SANT:SANT-Bryo:1060-A,HumanObservation
SANT-Bryo,Anthoceros punctatus L.,J.Alvarez.,,,,,1983,10,26,J.Alvarez.,2501,ES,Ge,,Revolta de Carlejo (Santiago).,29TNH3149,,Piedras húmedas.,,1061-A,SANT:SANT-Bryo:1061-A,HumanObservation
SANT-Bryo,Jungermannia hyalina Lyell,J.Alvarez.,,,,,1983,10,26,J.Alvarez.,2101,ES,Ge,,Revolta de Carlejo (Santiago).,29TNH3150,,Piedras húmedas.,,1062-A,SANT:SANT-Bryo:1062-A,HumanObservation
SANT-Bryo,Eurhynchium praelongum var. stockesii (Turn.) Dix.,J.Alvarez.,,,,,1983,10,26,J.Alvarez.,2101,ES,S,,Revolta de Carlejo (Santiago).,,,Piedras húmedas.,,1063-A,SANT:SANT-Bryo:1063-A,HumanObservation
SANT-Bryo,Fissidens polyphyllus Wilson ex Bruch & Schimp.,J.Alvarez.,,,,,1983,10,26,J.Alvarez.,2101,ES,Te,,Revolta de Carlejo (Santiago).,,,Piedras húmedas.,,1064-A,SANT:SANT-Bryo:1064-A,HumanObservation
SANT-Bryo,Antitrichia californica Sull.,J.Varo.,,,,,1971,5,,J.Varo.,BH356,ES,L,,Sierra Nevada (Granada).,,1300.0,Rocas silíceas,,1065-A,SANT:SANT-Bryo:1065-A,HumanObservation
SANT-Bryo,Antitrichia californica Sull.,C.Casas.,,,,,1972,5,,M.Costa.,BH543,ES,O,,Aldehuela (Avila).,,1550.0,Rocas.,,1066-A,SANT:SANT-Bryo:1066-A,HumanObservation
SANT-Bryo,Antitrichia californica Sull.,E.Fuertes.,,,,,1976,10,2,E.Fuertes.,BH843,ES,nan,,Pinsapar de Grazalema (Cádiz).,,,Corteza de árboles y rocas.,,1066-A,SANT:SANT-Bryo:1066-A,HumanObservation
SANT-Bryo,Antitrichia californica Sull.,J.Varo.,,,,,1986,4,10,J.Varo.,BH1043,ES,C,,Valdeazores (Jaen).,,900.0,Pizarras.,,1067-A,SANT:SANT-Bryo:1067-A,HumanObservation
